CPU (%),Memory (MB)
0.07,32.89
0.06,32.89
0.07,32.89
0.07,32.89
0.08,32.89
0.07,32.89
0.08,32.89
0.09,32.89
0.09,32.89
76.01,362.1
97.68,1606.66
71.28,1679.36
65.76,1705.98
67.79,1724.42
56.86,1730.56
44.68,1732.61
33.0,1720.32
25.21,1095.68
21.51,1325.06
93.86,1729.54
86.57,1144.83
0.94,23.9
0.06,23.96
0.06,23.96
0.05,23.96
0.06,23.99
0.08,24.0
0.08,24.34
0.08,24.09
