CPU (%),Memory (MB),Time (s)
0.09,50.57,1.596
0.08,50.57,3.608
0.06,50.57,5.626
0.08,50.57,7.642
0.07,50.57,9.654
0.09,50.57,11.674
0.08,50.82,13.688
0.08,50.57,15.698
105.29,117.8,17.703
125.74,294.1,19.706
457.48,1044.48,21.716
493.22,1045.5,23.722
484.86,1045.5,25.724
51.4,108.5,27.726
0.07,107.8,29.73
0.09,107.8,31.738
0.08,107.8,33.744
0.07,108,35.751
0.08,107.8,37.764
0.07,108,39.761
0.06,107.8,41.77
0.08,107.8,43.776
