CPU (%),Memory (MB),Time (s)
0.06,57.12,2.092
0.06,56.87,4.119
0.08,57.12,6.132
0.06,56.87,8.145
0.08,56.87,10.155
0.09,57.12,12.161
0.09,56.87,14.187
0.09,56.87,16.204
77.21,130.4,18.209
93.37,508.3,20.209
306.29,1004,22.219
303.47,1005,24.221
302.57,1006,26.227
303.28,1006,28.239
40.45,114,30.247
0.08,114.2,32.26
0.09,114.2,34.269
0.08,114.2,36.28
0.08,114,38.282
0.08,114.2,40.287
0.08,114.2,42.296
0.07,114,44.303
0.08,114,46.311
