CPU (%),Memory (MB),Time (s)
0.06,57.12,1.596
0.06,56.87,3.608
0.08,57.12,5.626
0.06,56.87,7.642
0.08,56.87,9.654
0.09,57.12,11.674
0.09,56.87,13.688
0.09,56.87,15.698
77.21,130.4,17.703
93.37,508.3,19.706
306.29,1004,21.716
303.47,1005,23.722
302.57,1006,25.724
303.28,1006,27.726
40.45,114,29.73
0.08,114.2,31.738
0.09,114.2,33.744
0.08,114.2,35.751
0.08,114,37.764
0.08,114.2,39.761
0.08,114.2,41.77
0.07,114,43.776
0.08,114,45.777
