CPU (%),Memory (MB),Time (s)
0.09,43.44,1.6
0.08,43.19,3.624
0.05,43.19,5.646
0.09,43.19,7.657
0.09,43.19,9.676
0.08,43.19,11.687
0.07,43.19,13.705
0.09,43.19,15.72
59.84,166.6,17.72
76.97,1231.87,19.734
171.94,929.8,21.743
179.49,930.8,23.744
179.12,932.2,25.755
179.43,933.3,27.763
180.74,933.5,29.769
178.6,933.4,31.777
4.5,87,33.79
0.08,87,35.789
0.09,87,37.798
0.07,87,39.816
0.09,87,41.823
0.09,87.25,43.825
0.08,87,45.837
0.08,87,47.845
