CPU (%),Memory (MB),Time (s)
0.09,23.79,1.596
0.09,23.79,3.608
0.09,23.79,5.626
0.11,23.79,7.642
0.06,23.79,9.654
0.08,23.79,11.674
0.1,23.79,13.688
0.08,23.79,15.698
60.81,189.7,17.703
99.17,1613.82,19.706
81.69,1672.19,21.716
33.46,1654.78,23.722
60.21,1721.34,25.724
54.74,1721.34,27.726
56.72,1730.56,29.73
45.96,1735.68,31.738
42.22,1739.78,33.744
23.39,1161.22,35.751
23.36,1368.06,37.764
28.52,1559.55,39.761
65.54,1743.87,41.77
92.91,1409.02,43.776
18.25,25.64,45.777
0.09,25.64,47.785
0.05,25.64,49.789
0.07,25.64,51.794
0.09,25.64,53.804
0.09,25.64,55.804
0.08,25.64,57.81
0.08,25.64,59.815
