CPU (%),Memory (MB),Time (s)
0.06,42.18,1.596
0.09,42.43,3.608
0.08,42.43,5.626
0.09,42.18,7.642
0.1,42.18,9.654
0.06,42.18,11.674
0.08,42.43,13.688
0.08,42.43,15.698
56.6,84.17,17.703
62.89,416.8,19.706
100.16,1288.19,21.716
100.32,1870.85,23.722
100.53,2182.14,25.724
101.03,2877.44,27.726
100.02,3642.37,29.73
100.39,4236.29,31.738
99.83,3192.83,33.744
90.15,1513.47,35.751
0.1,65.24,37.764
0.06,65.24,39.761
0.06,65.24,41.77
0.32,64.63,43.776
0.09,64.63,45.777
0.09,64.88,47.785
0.06,64.63,49.789
0.06,64.88,51.794
