CPU (%),Memory (MB),Time (s)
0.07,50.59,2.092
0.11,50.84,4.119
0.08,50.59,6.132
0.08,50.59,8.145
0.09,50.59,10.155
0.06,50.59,12.161
0.08,50.59,14.187
0.08,50.84,16.204
131.53,115.4,18.209
96.58,1305.6,20.209
100.17,2945.02,22.219
100.15,4144.13,24.221
100.01,3352.58,26.227
85.75,1691.65,28.239
0.15,86.61,30.247
0.05,86.61,32.26
0.05,86.61,34.269
0.2,86.86,36.28
0.07,86.61,38.282
0.07,86.86,40.287
0.06,86.86,42.296
0.27,86.61,44.303
