CPU (%),Memory (MB),Time (s)
0.08,42.2,1.596
0.08,42.2,3.608
0.08,42.2,5.626
0.07,42.2,7.642
0.1,42.45,9.654
0.09,42.45,11.674
0.09,42.45,13.688
0.08,42.2,15.698
174.24,122.7,17.703
31.42,581,19.706
99.56,1739.78,21.716
100.42,2267.14,23.722
100.35,2701.31,25.724
100.7,3183.62,27.726
100.66,3983.36,29.73
100.46,4529.15,31.738
98.89,3314.69,33.744
100.49,1631.23,35.751
54.12,65.48,37.764
0.09,65.04,39.761
0.08,65.29,41.77
0.09,65.04,43.776
0.08,65.04,45.777
0.08,65.04,47.785
0.1,65.04,49.789
0.08,65.29,51.794
0.08,65.04,53.804
