CPU (%),Memory (MB),Time (s)
0.06,56.85,1.596
0.07,56.85,3.608
0.07,56.85,5.626
0.08,56.85,7.642
0.06,56.85,9.654
0.08,56.85,11.674
0.08,56.85,13.688
0.09,56.85,15.698
64.53,129.5,17.703
100.87,1227.78,19.706
82.87,1453.06,21.716
33.33,1631.23,23.722
45.66,1661.95,25.724
62.85,1710.08,27.726
58.49,1720.32,29.73
46.73,1712.13,31.738
26.77,1053.7,33.744
21.77,1270.78,35.751
61.36,1531.9,37.764
79.24,867.1,39.761
25.57,33.56,41.77
0.09,33.55,43.776
0.1,33.61,45.777
0.07,33.61,47.785
0.06,33.86,49.789
0.05,33.61,51.794
0.08,33.86,53.804
0.08,33.61,55.804
0.07,33.61,57.81
