CPU (%),Memory (MB),Time (s)
0.09,46.54,1.596
0.06,46.79,3.608
0.06,46.79,5.626
0.08,46.54,7.642
0.08,46.54,9.654
0.08,46.54,11.674
0.08,46.79,13.688
0.09,46.79,15.698
181.94,159.3,17.703
81.45,733.3,19.706
100.23,1568.77,21.716
100.62,2118.66,23.722
100.56,3209.22,25.724
100.36,3854.34,27.726
101.49,4240.38,29.73
100.75,4752.38,31.738
99.86,4764.67,33.744
100.23,4763.65,35.751
100.11,3646.46,37.764
101.18,5030.91,39.761
101.56,5437.44,41.77
100.28,5756.93,43.776
100.49,5919.74,45.777
100.55,5919.74,47.785
100.04,5919.74,49.789
101.76,5919.74,51.794
100.42,4763.65,53.804
100.77,4763.65,55.804
100.85,5250.05,57.81
100.45,5919.74,59.815
99.99,5919.74,61.814
100.26,5919.74,63.826
100.21,5919.74,65.827
100.62,4763.65,67.84
99.91,5891.07,69.843
102.19,5201.92,71.845
105.28,6210.56,73.851
100.41,6210.56,75.853
100.88,6210.56,77.858
100.09,5053.44,79.864
102.44,6081.54,81.872
100.12,6472.7,83.877
80.44,608.4,85.882
0.11,67.42,87.886
0.11,67.63,89.899
0.08,67.38,91.9
0.07,67.38,93.905
0.05,67.14,95.913
0.08,67.22,97.921
0.08,66.97,99.923
0.08,67.22,101.929
