CPU (%),Memory (MB),Time (s)
0.07,51.38,1.596
0.12,51.38,3.608
0.05,51.38,5.626
0.05,51.63,7.642
0.08,51.63,9.654
0.07,51.63,11.674
0.07,51.38,13.688
0.08,51.38,15.698
113.2,313,17.703
99.87,1968.13,19.706
99.91,3287.04,21.716
85.66,3326.98,23.722
99.29,2513.92,25.724
54.27,86.29,27.726
0.09,46.46,29.73
0.11,46.46,31.738
0.08,46.46,33.744
0.09,46.46,35.751
0.06,46.46,37.764
0.08,46.46,39.761
0.08,46.46,41.77
0.08,46.71,43.776
