CPU (%),Memory (MB),Time (s)
0.06,40.45,1.596
0.08,40.45,3.608
0.07,40.45,5.626
0.08,40.45,7.642
0.08,40.7,9.654
0.07,40.45,11.674
0.08,40.45,13.688
0.08,40.45,15.698
116.05,388.9,17.703
100.5,2487.3,19.706
59.84,3475.46,21.716
56.5,3499.01,23.722
66.62,3515.39,25.724
83.1,3503.1,27.726
99.79,3508.22,29.73
78.5,2142.21,31.738
62.29,3409.92,33.744
64.94,3571.71,35.751
47.41,3555.33,37.764
39.87,3566.59,39.761
46.99,3590.14,41.77
82.24,3577.86,43.776
90.12,3582.98,45.777
99.92,3574.78,47.785
39.91,2826.24,49.789
99.7,3565.57,51.794
55.33,3629.06,53.804
53.8,3566.59,55.804
56.41,3560.45,57.81
81.35,3566.59,59.815
90.15,3551.23,61.814
100.06,3553.28,63.826
44.14,2447.36,65.827
32.19,2843.65,67.84
29.58,3256.32,69.843
72.1,3271.68,71.845
101.3,3556.35,73.851
99.74,2724.86,75.853
100.44,3532.8,77.858
100.28,3532.8,79.864
94.19,3134.46,81.872
95,2222.08,83.877
4.55,39.61,85.882
0.05,39.61,87.886
0.08,39.62,89.899
0.06,39.62,91.9
0.1,39.62,93.905
0.08,39.62,95.913
0.09,39.62,97.921
0.07,39.62,99.923
