CPU (%),Memory (MB),Time (s)
0.09,45.9,1.596
0.1,46.15,3.608
0.1,46.15,5.626
0.1,46.15,7.642
0.09,46.15,9.654
0.08,45.9,11.674
0.09,46.15,13.688
0.09,46.15,15.698
12.69,60.12,17.703
95.06,517.8,19.706
100.19,1240.06,21.716
100.09,1625.09,23.722
100.87,2649.09,25.724
100.33,3154.94,27.726
100.99,3680.26,29.73
99.49,4062.21,31.738
101.56,4543.49,33.744
104.11,4763.65,35.751
102.5,4763.65,37.764
100.31,4763.65,39.761
100.09,3516.42,41.77
100.94,4897.79,43.776
100.95,5284.86,45.777
100.84,5650.43,47.785
101.11,5888,49.789
99.95,5918.72,51.794
100.08,5918.72,53.804
100.29,5918.72,55.804
100.39,5918.72,57.81
100.76,4762.62,59.815
100.27,4762.62,61.814
100.91,5763.07,63.826
100.34,5918.72,65.827
100.37,5918.72,67.84
100.21,5918.72,69.843
101.27,4762.62,71.845
100.66,4762.62,73.851
99.96,5775.36,75.853
100.31,5078.02,77.858
101.1,6127.62,79.864
100.35,6208.51,81.872
100.44,6208.51,83.877
100.36,6208.51,85.882
100.58,5626.88,87.886
100.28,5998.59,89.899
100.21,5654.53,91.9
35.05,37.62,93.905
0.05,38.73,95.913
0.08,38.73,97.921
0.09,38.73,99.923
0.05,38.73,101.929
0.09,38.53,103.935
0.05,38.78,105.935
0.09,38.53,107.94
0.07,38.53,109.943
