CPU (%),Memory (MB),Time (s)
0.07,39.69,1.596
0.05,39.44,3.608
0.1,39.44,5.626
0.09,39.69,7.642
0.07,39.44,9.654
0.12,39.44,11.674
0.07,39.44,13.688
0.07,39.44,15.698
95.9,167,17.703
101.81,1984.51,19.706
73.19,3534.85,21.716
29.61,3442.69,23.722
60.37,3520.51,25.724
82.35,3496.96,27.726
91.31,3514.37,29.73
99.58,3508.22,31.738
61.57,2394.11,33.744
65.1,3495.94,35.751
67.89,3584,37.764
41.17,3547.14,39.761
32.28,3567.62,41.77
50.43,3569.66,43.776
55.58,3571.71,45.777
69.93,3568.64,47.785
94.64,3564.54,49.789
92.29,2449.41,51.794
19.94,2868.22,53.804
99.54,3542.02,55.804
55.39,3588.1,57.81
43.41,3578.88,59.815
57.96,3584,61.814
81.04,3574.78,63.826
100.29,3560.45,65.827
102.13,3561.47,67.84
98.93,3549.18,69.843
94.84,2409.47,71.845
26.64,2764.8,73.851
28.42,3173.38,75.853
31.01,3531.78,77.858
91.38,3618.82,79.864
100.89,3557.38,81.872
97,3539.97,83.877
101.74,3499.01,85.882
99.99,3499.01,87.886
93.54,2778.11,89.899
94.76,3577.86,91.9
40.11,2130.94,93.905
0.05,36.66,95.913
0.07,36.66,97.921
0.05,36.66,99.923
0.08,36.91,101.929
0.06,36.91,103.935
0.05,36.66,105.935
0.06,36.66,107.94
0.09,36.66,109.943
