CPU (%),Memory (MB)
0.06,56.85
0.07,56.85
0.07,56.85
0.08,56.85
0.06,56.85
0.08,56.85
0.08,56.85
0.09,56.85
64.53,129.5
100.87,1227.78
82.87,1453.06
33.33,1631.23
45.66,1661.95
62.85,1710.08
58.49,1720.32
46.73,1712.13
26.77,1053.7
21.77,1270.78
61.36,1531.9
79.24,867.1
25.57,33.56
0.09,33.55
0.1,33.61
0.07,33.61
0.06,33.86
0.05,33.61
0.08,33.86
0.08,33.61
0.07,33.61
