CPU (%),Memory (MB)
4.91,226.0
6.37,226.0
4.73,226.3
6.31,226.0
4.18,226.0
4.86,226.0
5.49,225.8
5.26,226.0
19.58,326.4
471.42,969.5
489.19,970.3
484.13,970.5
26.02,329.3
5.88,328.6
5.17,328.8
6.73,328.8
5.46,328.6
6.41,328.9
4.71,328.8
5.35,328.8
