CPU (%),Memory (MB)
0.09,50.57
0.08,50.57
0.06,50.57
0.08,50.57
0.07,50.57
0.09,50.57
0.08,50.82
0.08,50.57
105.29,117.8
125.74,294.1
457.48,1044.48
493.22,1045.5
484.86,1045.5
51.4,108.5
0.07,107.8
0.09,107.8
0.08,107.8
0.07,108.0
0.08,107.8
0.07,108.0
0.06,107.8
0.08,107.8
