S1,S2,S3,S4,S5,S6,S7,S8
19.46,18.2,22.94,23.15,71.04,72.6,73.56,74.04
19.65,16.88,22.41,22.16,74.16,74.16,81.6,72.18
20.42,16.21,23.46,20.27,79.62,75.24,73.2,77.34
20,15.76,21.39,22.21,72.96,72.48,72.78,74.28
19.63,16.12,22.57,20.01,73.44,72.48,77.28,73.68
