Gzip (1.51 GB),bzip2 (1.51 GB),Gzip (4.46 GB),bzip2 (4.46GB)
89.39,180.82,240.37,489.95
89.29,180.79,240.29,490.05
89.35,180.85,240.32,490.13
89.32,180.81,240.35,489.9
89.33,180.83,240.31,489.99
