S1,S2,S3,S4,S5,S6,S7,S8
11.2,11.69,16.1,12.95,72,83.05,79.44,81.6
12.34,12.54,15.01,13.33,78.84,79.38,79.2,82.32
12,13.3,13.02,12.6,77.4,75,77.64,77.04
12.29,10.58,14.63,14.43,79.38,74.58,85.56,81.66
11.63,10.9,12.63,14.19,77.82,75.12,84.37,75.84
