"Traditional
(1.51 GB)","Chuck 15 MB
(1.51 GB)","Chuck 25 MB
(1.51 GB)","Chuck 50 MB
(1.51 GB)","Traditional
(4.46 GB)","Chuck 15 MB
(4.46 GB)","Chuck 25 MB
(4.46 GB)","Chuck 50 MB
(4.46 GB)"
47.35,67.06,72.39,73.79,98.74,225.83,302.3,228.35
40.68,64.48,67.54,69.76,115.69,278.5,243.69,273.31
41.13,63.2,66.59,73.09,103.09,283.21,283.98,247.34
42.42,64.47,77.7,82.79,110.31,224.78,255.74,234.61
39.51,67.75,78.78,82.07,112.71,262.28,295.47,281.37
