Time (s),CPU (%),Memory (MB)
1.949,3.86,198.4
3.967,4.43,198.6
5.979,4.77,198.5
7.996,5.54,198.4
10.007,4.79,198.6
12.021,3.7,198.4
14.028,4.0,198.4
16.045,5.08,198.8
18.058,28.57,207.0
20.056,101.06,208.0
22.059,101.91,208.0
24.072,101.23,208.2
26.07,100.82,209.1
28.071,100.9,209.2
30.078,101.16,209.7
32.086,100.77,209.4
34.085,101.0,209.5
36.091,100.03,209.7
38.099,100.74,209.8
40.101,100.71,210.0
42.103,101.0,209.7
44.108,100.33,210.1
46.115,101.13,209.8
48.123,100.41,209.8
50.122,101.75,210.0
52.126,100.99,210.1
54.129,100.96,210.3
56.135,100.85,210.0
58.145,101.08,210.2
60.148,101.07,210.2
62.151,100.54,210.3
64.155,101.11,210.3
66.164,101.06,210.5
68.163,100.74,210.2
70.168,100.91,210.4
72.172,100.82,210.3
74.176,101.44,210.4
76.185,99.96,210.5
78.181,100.54,210.4
80.192,100.2,210.7
82.201,100.76,210.6
84.202,101.12,210.8
86.205,100.91,210.7
88.213,100.46,210.6
90.215,101.05,210.8
92.219,100.05,210.8
94.222,100.65,210.8
96.226,100.17,211.0
98.234,101.39,210.9
100.24,101.38,210.9
102.24,101.44,211.0
104.244,100.27,211.0
106.255,100.99,211.2
108.262,101.16,211.1
110.27,100.63,211.1
112.279,101.41,211.5
114.285,101.0,211.2
116.287,100.35,211.3
118.298,100.36,211.4
120.3,101.16,211.4
122.302,100.71,211.6
124.314,101.38,211.7
126.32,100.47,211.5
128.323,101.65,211.7
130.334,101.02,211.7
132.338,101.34,211.6
134.347,101.13,211.6
136.35,101.72,211.6
138.358,101.04,211.8
140.359,101.28,211.7
142.369,101.03,211.7
144.369,100.86,211.9
146.373,101.22,211.8
148.378,100.21,212.0
150.387,101.84,212.0
152.387,100.92,212.0
154.394,101.15,212.2
156.413,100.6,212.2
158.422,100.0,212.4
167.418,106.86,212.2
169.412,100.46,212.3
171.418,101.25,212.3
173.424,101.19,212.5
