Time (s),CPU (%),Memory (MB)
175.428,101.44,212.3
177.433,100.44,212.6
179.435,100.57,212.9
181.443,101.43,212.5
183.449,99.79,212.6
185.454,101.49,212.6
187.46,100.58,212.5
189.459,101.06,212.5
191.467,100.76,213.0
193.472,101.34,212.6
195.482,100.38,212.9
197.483,100.76,212.9
199.489,101.17,212.9
201.498,100.72,212.9
203.5,100.87,213.1
205.506,100.81,213.3
207.509,101.32,213.1
209.513,100.51,213.3
211.519,100.77,213.3
213.529,100.95,213.2
215.534,101.1,213.4
217.535,100.01,213.7
219.542,101.08,213.7
221.551,100.91,213.7
223.555,101.99,213.8
225.567,101.22,214.0
227.572,99.99,214.9
229.57,100.32,214.8
231.578,101.57,215.0
233.583,101.11,215.1
235.599,101.21,214.9
237.601,99.84,215.2
239.604,100.97,215.4
241.616,100.92,215.1
243.617,100.91,215.3
245.628,101.02,215.5
247.633,100.85,215.3
249.636,101.0,211.7
251.647,100.97,211.6
253.652,100.45,211.6
255.661,101.13,212.1
257.666,100.72,212.4
259.672,101.02,212.7
261.681,100.63,212.6
263.687,101.33,212.6
265.692,100.41,212.8
267.7,101.79,212.7
269.702,101.84,213.0
271.708,99.9,212.8
273.719,101.42,213.0
275.725,100.85,212.9
277.729,101.34,212.9
279.735,100.36,213.0
281.747,100.78,213.1
283.758,100.65,213.1
285.758,100.77,213.1
287.767,101.11,213.5
289.769,101.25,213.2
291.779,101.25,213.4
293.786,101.04,213.4
295.788,100.59,213.4
297.791,101.1,213.3
299.799,100.61,213.5
301.811,101.44,213.5
303.809,100.2,213.5
305.818,100.85,213.5
307.83,101.25,213.6
309.837,101.02,213.6
311.839,100.8,213.5
313.846,101.6,213.7
315.856,100.96,213.9
317.854,100.19,213.7
319.862,101.39,213.9
321.866,101.04,213.9
323.875,100.73,214.2
325.882,100.49,214.2
327.885,100.72,214.1
329.895,101.09,214.0
331.896,101.26,214.2
333.9,100.58,214.5
335.908,101.13,214.2
337.92,100.9,214.4
339.92,101.0,214.2
341.926,100.65,214.4
343.931,101.02,214.4
345.939,101.37,214.3
347.943,100.41,214.5
349.948,101.51,214.4
351.953,100.23,214.4
353.951,100.94,214.7
355.961,99.99,214.5
357.962,101.37,214.7
359.978,101.17,214.7
361.981,101.43,214.9
363.982,101.25,214.9
365.994,101.34,214.9
367.998,100.49,214.8
370.0,101.32,214.8
372.005,100.85,215.3
374.019,100.92,214.9
376.018,100.95,214.9
378.025,100.76,215.3
380.03,100.88,215.0
382.039,101.1,215.0
384.044,101.17,215.0
386.045,101.33,215.4
388.06,101.12,215.2
390.065,101.08,215.4
392.069,101.14,215.3
394.075,100.33,215.3
396.085,101.77,215.5
398.084,100.56,215.5
400.089,100.38,215.4
402.098,101.39,215.6
404.106,100.12,215.6
406.113,100.63,215.5
408.116,101.52,215.7
410.12,101.22,215.6
412.123,101.72,216.1
414.13,100.83,215.8
416.134,100.65,215.9
418.143,101.39,215.8
420.145,100.93,216.0
422.157,101.32,216.0
424.163,101.27,215.9
426.17,101.63,215.9
428.176,101.09,216.4
430.177,100.66,216.2
432.182,100.62,216.1
434.189,101.1,216.3
436.2,100.77,216.4
438.197,100.57,216.3
440.203,100.98,216.5
442.211,100.45,216.3
444.215,101.38,216.5
446.226,101.29,216.7
448.226,100.95,216.7
450.231,100.94,216.4
452.24,101.16,217.1
454.248,101.31,216.9
456.254,101.11,216.6
458.259,100.93,216.6
460.268,100.92,216.6
462.27,100.72,216.9
464.274,100.24,217.1
466.286,99.64,216.9
468.295,100.92,216.8
470.299,100.4,216.8
472.303,100.82,217.1
474.316,100.27,217.2
476.317,99.96,217.0
478.32,100.27,217.0
480.325,100.14,217.1
482.334,101.0,217.2
484.333,100.81,217.3
486.345,100.2,217.2
488.352,100.62,217.2
490.352,95.91,217.6
492.36,95.98,218.4
494.374,57.31,212.9
496.388,5.42,212.9
498.398,3.78,213.1
500.412,3.81,212.9
502.422,4.2,212.9
504.438,4.87,213.1
506.448,5.65,213.1
508.469,3.71,212.9
510.478,3.55,213.1
