CPU (%),Memory (MB)
0.09,64.63
0.08,64.63
0.08,64.63
0.06,64.63
0.08,64.63
0.08,64.88
0.08,64.88
0.09,64.63
0.07,64.63
62.77,471.2
100.3,1321.98
100.21,2409.47
101.03,3040.26
100.33,3894.27
100.41,4746.24
100.49,3673.09
92.73,1795.07
2.87,63.31
0.06,63.31
0.08,63.31
0.07,62.75
0.13,62.5
0.05,62.5
0.05,62.5
0.08,62.75
