Time (s),CPU (%),Memory (MB)
2.543,4.26,198.3
4.551,5.67,198.5
6.566,4.88,198.5
8.577,4.7,198.6
10.593,4.04,198.3
12.603,3.96,198.3
14.612,4.09,198.3
16.627,4.96,198.3
18.631,99.5,207.8
20.639,100.46,207.9
22.642,98.91,207.9
24.648,101.45,208.0
26.657,101.14,208.0
28.659,99.82,208.1
30.664,100.16,208.1
32.668,100.69,208.3
34.67,102.09,208.3
36.675,101.87,208.2
38.679,101.84,208.4
40.683,101.56,208.4
42.682,100.1,208.4
44.693,101.26,208.6
46.695,101.25,208.5
48.701,101.09,208.6
50.705,101.27,208.4
52.711,101.05,208.3
54.714,100.79,208.4
56.723,100.38,207.5
58.723,100.22,207.5
60.725,101.16,207.6
62.728,100.58,207.3
64.737,100.69,207.2
66.736,100.52,207.3
68.745,100.04,206.8
70.745,100.48,207.0
72.755,101.74,206.9
74.76,100.59,207.1
76.762,99.7,207.0
78.769,99.98,206.5
80.777,101.0,206.7
82.782,100.18,206.2
84.786,101.53,206.4
86.789,101.04,206.3
88.798,100.28,206.4
90.8,101.37,206.3
92.804,100.74,206.5
94.807,101.29,206.5
96.815,100.33,206.5
98.825,101.1,206.5
100.824,100.68,206.7
102.831,101.37,206.7
104.842,100.87,206.7
106.844,101.21,206.7
108.849,100.85,206.8
110.852,100.71,206.7
112.857,101.01,206.8
114.861,100.34,206.9
116.861,101.05,206.8
118.87,100.77,207.0
120.874,100.91,207.0
122.88,100.7,207.0
124.888,100.4,207.1
126.893,100.25,207.1
128.897,101.19,207.2
130.905,100.6,207.2
132.912,100.4,207.2
134.921,101.04,207.4
136.92,100.18,207.4
138.925,101.54,207.4
140.932,101.14,207.4
142.938,101.29,207.5
144.945,101.28,207.5
146.946,101.02,207.6
148.948,101.19,207.6
150.958,100.32,207.6
152.962,101.02,207.7
154.965,100.25,207.7
156.975,100.87,207.8
158.982,101.15,207.7
160.99,100.39,207.8
162.994,100.91,208.0
164.999,100.67,208.0
167.004,101.39,208.0
169.007,100.59,208.0
171.013,99.79,208.0
173.02,101.11,208.1
175.023,100.63,208.1
177.025,100.14,208.2
179.034,100.9,208.3
181.039,100.24,208.2
183.041,102.16,208.2
185.05,99.69,208.4
187.058,100.23,208.4
189.06,100.71,208.5
191.065,99.76,208.5
193.068,101.62,208.5
195.091,69.18,199.4
197.095,4.04,199.4
199.117,4.85,199.5
201.131,5.05,199.4
203.135,4.14,199.4
205.148,3.96,199.4
207.156,4.2,199.4
209.17,4.35,199.4
211.185,4.73,199.7
