Time (s),CPU (%),Memory (MB)
1.596,4.12,199.1
3.608,4.73,199.3
5.626,4.08,199.1
7.642,5.12,199.1
9.654,4.56,199.3
11.674,4.33,199.3
13.688,3.33,199.1
15.698,3.9,199.3
17.703,32.11,207.7
19.706,100.28,208.6
21.716,100.8,208.8
23.722,100.32,208.8
25.724,101.2,208.8
27.726,100.81,208.8
29.73,101.62,208.9
31.738,100.99,209.0
33.744,100.57,209.0
35.751,101.94,209.0
37.764,101.04,208.9
39.761,100.97,209.2
41.77,100.38,209.2
43.776,101.49,209.2
45.777,100.95,209.1
47.785,101.23,209.1
49.789,100.47,209.3
51.794,101.39,209.4
53.804,100.88,209.3
55.804,100.54,209.3
57.81,101.43,209.6
59.815,100.77,209.6
61.814,101.27,209.5
63.826,101.14,209.5
65.827,100.66,209.5
67.84,101.18,209.8
69.843,101.18,209.7
71.845,100.34,209.7
73.851,101.52,209.7
75.853,100.89,209.7
77.858,101.58,209.7
79.864,100.42,209.9
81.872,101.23,209.9
83.877,101.2,210.1
85.882,100.52,210.1
87.886,100.61,210.2
89.899,101.07,210.0
91.9,101.75,210.2
93.905,100.56,210.2
95.913,100.83,210.3
97.921,100.95,210.2
99.923,100.7,210.2
101.929,100.79,210.6
103.935,101.1,210.3
105.935,100.8,210.7
107.94,100.68,210.4
109.943,100.61,210.5
111.953,100.87,210.5
113.956,102.04,210.5
115.96,101.08,210.7
117.968,100.81,210.7
119.971,100.63,210.8
121.976,101.17,210.7
123.976,100.12,210.8
125.976,100.15,210.9
127.989,101.56,210.9
129.989,100.62,210.8
131.995,101.89,210.9
134.004,101.39,211.1
136.008,100.95,211.0
138.013,100.88,210.9
140.018,101.3,211.2
142.026,100.62,211.2
144.037,100.66,211.3
146.039,100.44,211.1
148.043,100.73,211.4
150.048,101.22,211.2
152.053,101.29,211.4
154.064,101.49,211.3
156.072,101.78,211.4
158.076,100.58,211.4
160.086,101.39,211.6
162.09,100.91,211.6
164.102,100.59,211.6
166.102,101.56,211.8
168.107,100.29,211.7
170.113,101.0,211.7
172.119,101.1,211.6
174.124,101.38,211.9
176.128,101.0,211.9
178.143,101.72,212.2
180.143,100.89,212.0
182.15,100.95,212.0
184.157,101.3,212.2
186.165,101.83,212.2
188.166,100.63,212.4
190.177,101.26,212.7
192.188,101.44,212.5
194.186,101.5,212.6
196.196,101.2,212.7
198.201,100.63,212.8
200.208,100.17,212.6
202.22,5.42,203.4
204.24,5.14,203.6
206.249,3.77,203.4
208.261,4.28,203.4
210.28,4.34,203.4
212.292,4.95,203.4
214.302,5.37,203.4
216.317,3.87,203.4
