CPU (%),Memory (MB)
0.07,46.36
0.05,46.11
0.06,46.11
0.07,46.11
0.06,46.11
0.08,46.11
0.06,46.11
0.06,46.11
87.8,104.4
99.91,2273.28
99.32,3300.35
45.32,3340.29
64.13,3393.54
91.6,1954.82
89.59,1401.86
17.09,52.15
0.05,52.15
0.08,52.15
0.04,52.15
0.11,51.72
0.07,51.33
0.07,51.33
0.06,51.33
0.08,51.33
