CPU (%),Memory (MB)
5.28,195.3
4.29,195.3
5.53,195.3
5.02,195.5
5.8,195.3
5.02,195.3
3.96,195.3
5.77,195.3
104.8,905.0
178.99,906.2
178.78,906.9
179.89,907.3
178.62,909.2
179.32,909.5
179.75,909.4
5.1,589.5
5.58,589.5
4.67,589.5
5.85,589.5
5.46,269.2
4.92,269.2
6.8,268.9
4.92,268.9
5.24,268.9
5.94,269.2
4.09,268.9
5.33,269.2
