Time (s),CPU (%),Memory (MB)
1.598,15.45,551.6
3.61,13.23,548.5
5.616,20.46,548.1
7.638,31.7,548.9
9.641,33.69,549.4
11.654,13.69,549.2
13.679,14.22,547.9
15.682,17.05,547.8
17.697,34.41,548.9
19.704,30.05,548.8
21.711,14.36,548.7
23.719,13.36,547.8
25.73,16.8,547.7
27.736,33.03,548.6
29.747,27.39,548.8
31.762,14.8,548.5
33.765,14.28,548.6
35.774,17.33,549.1
37.786,33.2,549.9
39.791,29.35,549.7
41.813,14.0,549.8
43.816,48.27,546.9
45.822,16.2,546.6
47.834,13.22,546.6
49.842,29.26,547.5
51.859,14.41,547.6
53.866,50.4,548.4
55.873,17.0,548.2
57.888,14.29,548.4
59.896,30.95,549.1
61.916,14.34,549.4
63.925,52.69,547.7
65.929,14.43,547.6
67.944,14.48,547.2
69.949,32.16,548.3
71.969,14.3,548.0
73.976,54.27,547.6
75.989,15.06,547.6
78.003,14.02,547.8
80.002,34.63,548.6
82.013,14.2,548.6
84.025,55.16,550.5
86.038,14.23,550.2
88.049,14.07,549.9
90.051,48.9,550.9
92.065,13.64,550.7
94.076,15.44,550.7
96.091,12.82,547.7
98.097,14.31,547.5
100.107,49.66,548.3
102.121,11.99,548.7
104.124,14.92,548.3
106.14,14.97,548.7
108.146,12.39,548.5
110.159,47.65,549.4
112.171,14.38,549.4
114.177,12.04,549.4
116.197,15.29,550.0
118.202,14.3,550.0
120.219,46.03,550.9
122.229,15.48,551.0
124.249,12.26,551.0
126.257,13.27,551.3
128.267,15.86,551.3
130.278,51.29,552.3
132.289,14.1,552.1
134.3,15.59,552.1
136.312,15.53,548.0
138.313,11.84,548.0
140.321,38.6,548.0
142.335,14.18,549.2
144.351,13.18,548.8
146.362,51.38,550.0
148.377,14.39,550.2
150.382,36.56,550.0
152.398,11.74,550.8
154.399,14.2,551.1
156.423,53.21,548.6
158.437,14.68,548.4
160.44,34.04,548.8
162.456,15.68,549.2
164.462,14.27,549.2
166.491,49.67,551.1
168.496,15.56,550.6
170.509,35.04,550.9
172.523,14.46,552.0
174.522,12.79,551.8
176.533,49.38,549.8
178.546,15.02,549.8
180.553,32.54,549.6
182.561,14.15,550.6
184.573,13.82,550.7
186.581,54.42,551.2
188.59,14.22,551.7
190.593,36.75,551.4
192.603,28.11,552.2
194.609,14.3,552.2
196.627,15.68,552.2
198.64,14.43,548.2
200.649,34.44,548.4
202.665,37.03,549.2
204.672,13.49,549.0
206.686,12.15,549.3
208.701,15.71,550.2
210.712,33.98,549.9
212.727,33.03,550.7
214.738,14.3,550.8
216.75,11.78,550.8
218.76,15.94,551.6
220.788,35.45,551.9
222.795,33.87,552.6
224.806,15.05,552.4
226.818,14.08,552.6
228.839,12.85,556.9
230.844,33.62,556.8
232.851,60.0,554.7
234.866,11.34,554.8
236.88,15.71,554.6
238.889,14.38,555.9
240.901,30.82,555.9
242.914,19.01,556.3
244.921,13.57,548.9
246.935,13.58,549.0
248.943,35.38,549.6
250.957,31.5,549.6
252.965,13.1,549.9
254.971,13.85,551.1
257.0,14.33,550.8
259.02,40.6,551.8
261.037,39.39,551.6
263.045,15.73,551.6
265.075,13.24,547.8
267.089,15.44,547.4
269.105,32.45,548.4
271.123,34.21,548.2
273.134,14.13,548.2
