Time (s),CPU (%),Memory (MB)
2.092,4.58,202.9
4.119,4.22,202.6
6.132,3.7,202.7
8.145,3.67,202.6
10.155,5.34,202.5
12.161,4.68,202.6
14.187,4.17,202.8
16.204,4.11,202.9
18.209,39.17,212.5
20.209,101.13,212.3
22.219,101.3,212.3
24.221,101.09,212.2
26.227,101.12,212.4
28.239,101.09,212.4
30.247,101.63,212.6
32.26,100.84,212.6
34.269,101.48,212.8
36.28,100.86,212.7
38.282,101.69,212.5
40.287,101.1,212.5
42.296,101.41,212.7
44.303,101.48,212.8
46.311,101.66,212.9
48.318,101.26,212.8
50.329,101.25,212.8
52.34,101.67,213.0
54.348,101.2,213.1
56.357,101.45,213.2
58.372,101.32,213.3
60.374,101.5,213.0
62.383,101.32,213.2
64.387,101.42,213.4
66.391,101.39,213.6
68.397,101.26,213.1
70.404,101.8,213.3
72.407,101.72,213.5
74.415,101.59,213.3
76.418,101.43,213.6
78.42,101.33,213.7
80.433,101.7,213.5
82.434,101.55,213.6
84.438,101.72,213.6
86.444,101.0,213.7
88.457,101.44,213.7
90.457,101.03,213.6
92.47,101.24,213.8
94.481,100.88,213.8
96.484,101.36,213.9
98.495,101.02,214.0
100.5,101.77,213.9
102.508,101.05,214.0
104.514,101.53,214.0
106.523,101.21,213.9
108.522,101.49,214.1
110.531,101.34,214.4
112.541,101.65,214.3
114.55,100.91,214.1
116.55,101.23,214.3
118.569,101.03,214.5
120.575,101.45,214.2
122.579,101.16,214.6
124.597,101.28,214.4
126.601,100.77,214.7
128.607,101.54,214.2
130.619,101.0,214.8
132.626,101.63,214.6
134.643,101.0,214.4
136.647,101.56,214.4
138.65,100.85,214.6
140.654,101.26,214.8
142.664,101.19,214.8
144.667,101.7,214.8
146.671,100.98,214.9
148.684,101.35,215.1
150.687,101.19,214.8
152.69,101.36,214.8
154.701,101.46,215.1
156.716,101.44,215.0
158.715,101.52,215.4
160.721,101.43,215.2
162.726,101.83,215.2
164.736,101.41,215.3
166.744,101.35,215.3
168.748,101.68,215.1
170.765,101.34,215.5
172.775,101.53,215.3
174.779,101.69,215.5
176.79,101.28,215.3
178.803,101.54,215.7
180.804,101.35,215.7
182.81,101.4,215.5
184.816,101.18,216.1
186.82,101.9,215.9
188.832,101.26,215.9
190.838,101.49,215.6
192.851,101.2,215.6
194.862,101.48,216.0
196.867,100.84,215.9
198.881,81.93,207.1
200.894,5.19,206.9
202.902,3.55,206.9
204.925,4.31,206.9
206.931,4.78,206.8
208.95,5.33,206.9
210.967,4.14,206.9
212.975,3.75,206.9
214.989,5.02,207.0
