CPU (%),Memory (MB)
0.06,42.18
0.09,42.43
0.08,42.43
0.09,42.18
0.1,42.18
0.06,42.18
0.08,42.43
0.08,42.43
56.6,84.17
62.89,416.8
100.16,1288.19
100.32,1870.85
100.53,2182.14
101.03,2877.44
100.02,3642.37
100.39,4236.29
99.83,3192.83
90.15,1513.47
0.1,65.24
0.06,65.24
0.06,65.24
0.32,64.63
0.09,64.63
0.09,64.88
0.06,64.63
0.06,64.88
