CPU (%),Memory (MB)
0.07,51.38
0.12,51.38
0.05,51.38
0.05,51.63
0.08,51.63
0.07,51.63
0.07,51.38
0.08,51.38
113.2,313.0
99.87,1968.13
99.91,3287.04
85.66,3326.98
99.29,2513.92
54.27,86.29
0.09,46.46
0.11,46.46
0.08,46.46
0.09,46.46
0.06,46.46
0.08,46.46
0.08,46.46
0.08,46.71
