CPU (%),Memory (MB)
0.07,39.69
0.05,39.44
0.1,39.44
0.09,39.69
0.07,39.44
0.12,39.44
0.07,39.44
0.07,39.44
95.9,167.0
101.81,1984.51
73.19,3534.85
29.61,3442.69
60.37,3520.51
82.35,3496.96
91.31,3514.37
99.58,3508.22
61.57,2394.11
65.1,3495.94
67.89,3584.0
41.17,3547.14
32.28,3567.62
50.43,3569.66
55.58,3571.71
69.93,3568.64
94.64,3564.54
92.29,2449.41
19.94,2868.22
99.54,3542.02
55.39,3588.1
43.41,3578.88
57.96,3584.0
81.04,3574.78
100.29,3560.45
102.13,3561.47
98.93,3549.18
94.84,2409.47
26.64,2764.8
28.42,3173.38
31.01,3531.78
91.38,3618.82
100.89,3557.38
97.0,3539.97
101.74,3499.01
99.99,3499.01
93.54,2778.11
94.76,3577.86
40.11,2130.94
0.05,36.66
0.07,36.66
0.05,36.66
0.08,36.91
0.06,36.91
0.05,36.66
0.06,36.66
0.09,36.66
